CNIC,Name,Age,Sector,Street,HouseNo,Occupation
61101-0000129-9,Hira Nawaz,49,Blue Area,4,229,Banker
61101-0000130-0,Faisal Mahmood,50,G-10,5,230,Consultant
61101-0000131-1,Maryam Mahmood,51,F-8,6,231,Scientist
61101-0000132-2,Kamran Mahmood,52,G-9,7,232,CEO
61101-0000133-3,Sana Mahmood,53,F-6,8,233,Investor
61101-0000134-4,Tariq Mahmood,54,Blue Area,9,234,Pilot
61101-0000135-5,Rabia Mahmood,55,G-10,10,235,Journalist
61101-0000136-6,Imran Mahmood,56,F-8,12,236,Professor
61101-0000137-7,Amna Mahmood,57,G-9,15,237,Dentist
61101-0000138-8,Waqas Mahmood,58,F-6,17,238,Contractor
61101-0000139-9,Noor Mahmood,59,Blue Area,18,239,Psychologist
61101-0000140-0,Adnan Akram,60,G-10,20,240,Athlete
61101-0000141-1,Saira Akram,61,F-8,22,241,Economist
61101-0000142-2,Junaid Akram,62,G-9,23,242,Planner
61101-0000143-3,Lubna Akram,63,F-6,25,243,Researcher
61101-0000144-4,Asad Akram,64,Blue Area,1,244,Entrepreneur
61101-0000145-5,Neha Akram,65,G-10,2,245,Veterinarian
61101-0000146-6,Omer Akram,66,F-8,3,246,Chef
61101-0000147-7,Iram Akram,67,G-9,4,247,Analyst
61101-0000148-8,Talha Akram,68,F-6,5,248,Broker
61101-0000149-9,Uzma Akram,69,Blue Area,6,249,Trader
61101-0000150-0,Ahmed Iqbal,20,G-10,7,250,Minister
61101-0000151-1,Fatima Iqbal,21,F-8,8,251,Administrator
61101-0000152-2,Ali Iqbal,22,G-9,9,252,Engineer
61101-0000153-3,Sara Iqbal,23,F-6,10,253,Doctor
61101-0000154-4,Hassan Iqbal,24,Blue Area,12,254,Teacher
61101-0000155-5,Ayesha Iqbal,25,G-10,15,255,Lawyer
61101-0000156-6,Usman Iqbal,26,F-8,17,256,Nurse
61101-0000157-7,Zainab Iqbal,27,G-9,18,257,Accountant
61101-0000158-8,Bilal Iqbal,28,F-6,20,258,Designer
61101-0000159-9,Hira Iqbal,29,Blue Area,22,259,Developer
61101-0000160-0,Faisal Rauf,30,G-10,23,260,Artist
61101-0000161-1,Maryam Rauf,31,F-8,25,261,Manager
61101-0000162-2,Kamran Rauf,32,G-9,1,262,Pharmacist
61101-0000163-3,Sana Rauf,33,F-6,2,263,Student
61101-0000164-4,Tariq Rauf,34,Blue Area,3,264,Marketing
61101-0000165-5,Rabia Rauf,35,G-10,4,265,Director
61101-0000166-6,Imran Rauf,36,F-8,5,266,Architect
61101-0000167-7,Amna Rauf,37,G-9,6,267,Banker
61101-0000168-8,Waqas Rauf,38,F-6,7,268,Consultant
61101-0000169-9,Noor Rauf,39,Blue Area,8,269,Scientist
61101-0000170-0,Adnan Riaz,40,G-10,9,270,CEO
61101-0000171-1,Saira Riaz,41,F-8,10,271,Investor
61101-0000172-2,Junaid Riaz,42,G-9,12,272,Pilot
61101-0000173-3,Lubna Riaz,43,F-6,15,273,Journalist
61101-0000174-4,Asad Riaz,44,Blue Area,17,274,Professor
61101-0000175-5,Neha Riaz,45,G-10,18,275,Dentist
61101-0000176-6,Omer Riaz,46,F-8,20,276,Contractor
61101-0000177-7,Iram Riaz,47,G-9,22,277,Psychologist
61101-0000178-8,Talha Riaz,48,F-6,23,278,Athlete
61101-0000179-9,Uzma Riaz,49,Blue Area,25,279,Economist
61101-0000180-0,Ahmed Abbas,50,G-10,1,280,Planner
61101-0000181-1,Fatima Abbas,51,F-8,2,281,Researcher
61101-0000182-2,Ali Abbas,52,G-9,3,282,Entrepreneur
61101-0000183-3,Sara Abbas,53,F-6,4,283,Veterinarian
61101-0000184-4,Hassan Abbas,54,Blue Area,5,284,Chef
61101-0000185-5,Ayesha Abbas,55,G-10,6,285,Analyst
61101-0000186-6,Usman Abbas,56,F-8,7,286,Broker
61101-0000187-7,Zainab Abbas,57,G-9,8,287,Trader
61101-0000188-8,Bilal Abbas,58,F-6,9,288,Minister
61101-0000189-9,Hira Abbas,59,Blue Area,10,289,Administrator
61101-0000190-0,Faisal Rashid,60,G-10,12,290,Engineer
61101-0000191-1,Maryam Rashid,61,F-8,15,291,Doctor
61101-0000192-2,Kamran Rashid,62,G-9,17,292,Teacher
61101-0000193-3,Sana Rashid,63,F-6,18,293,Lawyer
61101-0000194-4,Tariq Rashid,64,Blue Area,20,294,Nurse
61101-0000195-5,Rabia Rashid,65,G-10,22,295,Accountant
61101-0000196-6,Imran Rashid,66,F-8,23,296,Designer
61101-0000197-7,Amna Rashid,67,G-9,25,297,Developer
61101-0000198-8,Waqas Rashid,68,F-6,1,298,Artist
61101-0000199-9,Noor Rashid,69,Blue Area,2,299,Manager
61101-0000200-0,Adnan Butt,20,G-10,3,100,Pharmacist
61101-0000201-1,Saira Butt,21,F-8,4,101,Student
61101-0000202-2,Junaid Butt,22,G-9,5,102,Marketing
61101-0000203-3,Lubna Butt,23,F-6,6,103,Director
61101-0000204-4,Asad Butt,24,Blue Area,7,104,Architect
61101-0000205-5,Neha Butt,25,G-10,8,105,Banker
61101-0000206-6,Omer Butt,26,F-8,9,106,Consultant
61101-0000207-7,Iram Butt,27,G-9,10,107,Scientist
61101-0000208-8,Talha Butt,28,F-6,12,108,CEO
61101-0000209-9,Uzma Butt,29,Blue Area,15,109,Investor
61101-0000210-0,Ahmed Hameed,30,G-10,17,110,Pilot
61101-0000211-1,Fatima Hameed,31,F-8,18,111,Journalist
61101-0000212-2,Ali Hameed,32,G-9,20,112,Professor
61101-0000213-3,Sara Hameed,33,F-6,22,113,Dentist
61101-0000214-4,Hassan Hameed,34,Blue Area,23,114,Contractor
61101-0000215-5,Ayesha Hameed,35,G-10,25,115,Psychologist
61101-0000216-6,Usman Hameed,36,F-8,1,116,Athlete
61101-0000217-7,Zainab Hameed,37,G-9,2,117,Economist
61101-0000218-8,Bilal Hameed,38,F-6,3,118,Planner
61101-0000219-9,Hira Hameed,39,Blue Area,4,119,Researcher
61101-0000220-0,Faisal Akhtar,40,G-10,5,120,Entrepreneur
61101-0000221-1,Maryam Akhtar,41,F-8,6,121,Veterinarian
61101-0000222-2,Kamran Akhtar,42,G-9,7,122,Chef
61101-0000223-3,Sana Akhtar,43,F-6,8,123,Analyst
61101-0000224-4,Tariq Akhtar,44,Blue Area,9,124,Broker
61101-0000225-5,Rabia Akhtar,45,G-10,10,125,Trader
61101-0000226-6,Imran Akhtar,46,F-8,12,126,Minister
61101-0000227-7,Amna Akhtar,47,G-9,15,127,Administrator
61101-0000228-8,Waqas Akhtar,48,F-6,17,128,Engineer
61101-0000229-9,Noor Akhtar,49,Blue Area,18,129,Doctor
61101-0000230-0,Adnan Karim,50,G-10,20,130,Teacher
61101-0000231-1,Saira Karim,51,F-8,22,131,Lawyer
61101-0000232-2,Junaid Karim,52,G-9,23,132,Nurse
61101-0000233-3,Lubna Karim,53,F-6,25,133,Accountant
61101-0000234-4,Asad Karim,54,Blue Area,1,134,Designer
61101-0000235-5,Neha Karim,55,G-10,2,135,Developer
61101-0000236-6,Omer Karim,56,F-8,3,136,Artist
61101-0000237-7,Iram Karim,57,G-9,4,137,Manager
61101-0000238-8,Talha Karim,58,F-6,5,138,Pharmacist
61101-0000239-9,Uzma Karim,59,Blue Area,6,139,Student
61101-0000240-0,Ahmed Zaman,60,G-10,7,140,Marketing
61101-0000241-1,Fatima Zaman,61,F-8,8,141,Director
61101-0000242-2,Ali Zaman,62,G-9,9,142,Architect
61101-0000243-3,Sara Zaman,63,F-6,10,143,Banker
61101-0000244-4,Hassan Zaman,64,Blue Area,12,144,Consultant
61101-0000245-5,Ayesha Zaman,65,G-10,15,145,Scientist
61101-0000246-6,Usman Zaman,66,F-8,17,146,CEO
61101-0000247-7,Zainab Zaman,67,G-9,18,147,Investor
61101-0000248-8,Bilal Zaman,68,F-6,20,148,Pilot
61101-0000249-9,Hira Zaman,69,Blue Area,22,149,Journalist
61101-0000250-0,Faisal Amin,20,G-10,23,150,Professor
61101-0000251-1,Maryam Amin,21,F-8,25,151,Dentist
61101-0000252-2,Kamran Amin,22,G-9,1,152,Contractor
61101-0000253-3,Sana Amin,23,F-6,2,153,Psychologist
61101-0000254-4,Tariq Amin,24,Blue Area,3,154,Athlete
61101-0000255-5,Rabia Amin,25,G-10,4,155,Economist
61101-0000256-6,Imran Amin,26,F-8,5,156,Planner
61101-0000257-7,Amna Amin,27,G-9,6,157,Researcher
61101-0000258-8,Waqas Amin,28,F-6,7,158,Entrepreneur
61101-0000259-9,Noor Amin,29,Blue Area,8,159,Veterinarian
61101-0000260-0,Adnan Qureshi,30,G-10,9,160,Chef
61101-0000261-1,Saira Qureshi,31,F-8,10,161,Analyst
61101-0000262-2,Junaid Qureshi,32,G-9,12,162,Broker
61101-0000263-3,Lubna Qureshi,33,F-6,15,163,Trader
61101-0000264-4,Asad Qureshi,34,Blue Area,17,164,Minister
61101-0000265-5,Neha Qureshi,35,G-10,18,165,Administrator
61101-0000266-6,Omer Qureshi,36,F-8,20,166,Engineer
61101-0000267-7,Iram Qureshi,37,G-9,22,167,Doctor
61101-0000268-8,Talha Qureshi,38,F-6,23,168,Teacher
61101-0000269-9,Uzma Qureshi,39,Blue Area,25,169,Lawyer
61101-0000270-0,Ahmed Naqvi,40,G-10,1,170,Nurse
61101-0000271-1,Fatima Naqvi,41,F-8,2,171,Accountant
61101-0000272-2,Ali Naqvi,42,G-9,3,172,Designer
61101-0000273-3,Sara Naqvi,43,F-6,4,173,Developer
61101-0000274-4,Hassan Naqvi,44,Blue Area,5,174,Artist
61101-0000275-5,Ayesha Naqvi,45,G-10,6,175,Manager
61101-0000276-6,Usman Naqvi,46,F-8,7,176,Pharmacist
61101-0000277-7,Zainab Naqvi,47,G-9,8,177,Student
61101-0000278-8,Bilal Naqvi,48,F-6,9,178,Marketing
61101-0000279-9,Hira Naqvi,49,Blue Area,10,179,Director
61101-0000280-0,Faisal Khan,50,G-10,12,180,Architect
61101-0000281-1,Maryam Khan,51,F-8,15,181,Banker
61101-0000282-2,Kamran Khan,52,G-9,17,182,Consultant
61101-0000283-3,Sana Khan,53,F-6,18,183,Scientist
61101-0000284-4,Tariq Khan,54,Blue Area,20,184,CEO
61101-0000285-5,Rabia Khan,55,G-10,22,185,Investor
61101-0000286-6,Imran Khan,56,F-8,23,186,Pilot
61101-0000287-7,Amna Khan,57,G-9,25,187,Journalist
61101-0000288-8,Waqas Khan,58,F-6,1,188,Professor
61101-0000289-9,Noor Khan,59,Blue Area,2,189,Dentist
61101-0000290-0,Adnan Ali,60,G-10,3,190,Contractor
61101-0000291-1,Saira Ali,61,F-8,4,191,Psychologist
61101-0000292-2,Junaid Ali,62,G-9,5,192,Athlete
61101-0000293-3,Lubna Ali,63,F-6,6,193,Economist
61101-0000294-4,Asad Ali,64,Blue Area,7,194,Planner
61101-0000295-5,Neha Ali,65,G-10,8,195,Researcher
61101-0000296-6,Omer Ali,66,F-8,9,196,Entrepreneur
61101-0000297-7,Iram Ali,67,G-9,10,197,Veterinarian
61101-0000298-8,Talha Ali,68,F-6,12,198,Chef
61101-0000299-9,Uzma Ali,69,Blue Area,15,199,Analyst
61101-0000300-0,Ahmed Shah,20,G-10,17,200,Broker
61101-0000301-1,Fatima Shah,21,F-8,18,201,Trader
61101-0000302-2,Ali Shah,22,G-9,20,202,Minister
61101-0000303-3,Sara Shah,23,F-6,22,203,Administrator
61101-0000304-4,Hassan Shah,24,Blue Area,23,204,Engineer
61101-0000305-5,Ayesha Shah,25,G-10,25,205,Doctor
61101-0000306-6,Usman Shah,26,F-8,1,206,Teacher
61101-0000307-7,Zainab Shah,27,G-9,2,207,Lawyer
61101-0000308-8,Bilal Shah,28,F-6,3,208,Nurse
61101-0000309-9,Hira Shah,29,Blue Area,4,209,Accountant
61101-0000310-0,Faisal Malik,30,G-10,5,210,Designer
61101-0000311-1,Maryam Malik,31,F-8,6,211,Developer
61101-0000312-2,Kamran Malik,32,G-9,7,212,Artist
61101-0000313-3,Sana Malik,33,F-6,8,213,Manager
61101-0000314-4,Tariq Malik,34,Blue Area,9,214,Pharmacist
61101-0000315-5,Rabia Malik,35,G-10,10,215,Student
61101-0000316-6,Imran Malik,36,F-8,12,216,Marketing
61101-0000317-7,Amna Malik,37,G-9,15,217,Director
61101-0000318-8,Waqas Malik,38,F-6,17,218,Architect
61101-0000319-9,Noor Malik,39,Blue Area,18,219,Banker
61101-0000320-0,Adnan Ahmed,40,G-10,20,220,Consultant
61101-0000321-1,Saira Ahmed,41,F-8,22,221,Scientist
61101-0000322-2,Junaid Ahmed,42,G-9,23,222,CEO
61101-0000323-3,Lubna Ahmed,43,F-6,25,223,Investor
61101-0000324-4,Asad Ahmed,44,Blue Area,1,224,Pilot
61101-0000325-5,Neha Ahmed,45,G-10,2,225,Journalist
61101-0000326-6,Omer Ahmed,46,F-8,3,226,Professor
61101-0000327-7,Iram Ahmed,47,G-9,4,227,Dentist
61101-0000328-8,Talha Ahmed,48,F-6,5,228,Contractor
61101-0000329-9,Uzma Ahmed,49,Blue Area,6,229,Psychologist
61101-0000330-0,Ahmed Hassan,50,G-10,7,230,Athlete
61101-0000331-1,Fatima Hassan,51,F-8,8,231,Economist
61101-0000332-2,Ali Hassan,52,G-9,9,232,Planner
61101-0000333-3,Sara Hassan,53,F-6,10,233,Researcher
61101-0000334-4,Hassan Hassan,54,Blue Area,12,234,Entrepreneur
61101-0000335-5,Ayesha Hassan,55,G-10,15,235,Veterinarian
61101-0000336-6,Usman Hassan,56,F-8,17,236,Chef
61101-0000337-7,Zainab Hassan,57,G-9,18,237,Analyst
61101-0000338-8,Bilal Hassan,58,F-6,20,238,Broker
61101-0000339-9,Hira Hassan,59,Blue Area,22,239,Trader
61101-0000340-0,Faisal Raza,60,G-10,23,240,Minister
61101-0000341-1,Maryam Raza,61,F-8,25,241,Administrator
61101-0000342-2,Kamran Raza,62,G-9,1,242,Engineer
61101-0000343-3,Sana Raza,63,F-6,2,243,Doctor
61101-0000344-4,Tariq Raza,64,Blue Area,3,244,Teacher
61101-0000345-5,Rabia Raza,65,G-10,4,245,Lawyer
61101-0000346-6,Imran Raza,66,F-8,5,246,Nurse
61101-0000347-7,Amna Raza,67,G-9,6,247,Accountant
61101-0000348-8,Waqas Raza,68,F-6,7,248,Designer
61101-0000349-9,Noor Raza,69,Blue Area,8,249,Developer
61101-0000350-0,Adnan Siddiqui,20,G-10,9,250,Artist
61101-0000351-1,Saira Siddiqui,21,F-8,10,251,Manager
61101-0000352-2,Junaid Siddiqui,22,G-9,12,252,Pharmacist
61101-0000353-3,Lubna Siddiqui,23,F-6,15,253,Student
61101-0000354-4,Asad Siddiqui,24,Blue Area,17,254,Marketing
61101-0000355-5,Neha Siddiqui,25,G-10,18,255,Director
61101-0000356-6,Omer Siddiqui,26,F-8,20,256,Architect
61101-0000357-7,Iram Siddiqui,27,G-9,22,257,Banker
61101-0000358-8,Talha Siddiqui,28,F-6,23,258,Consultant
61101-0000359-9,Uzma Siddiqui,29,Blue Area,25,259,Scientist
61101-0000360-0,Ahmed Hussain,30,G-10,1,260,CEO
61101-0000361-1,Fatima Hussain,31,F-8,2,261,Investor
61101-0000362-2,Ali Hussain,32,G-9,3,262,Pilot
61101-0000363-3,Sara Hussain,33,F-6,4,263,Journalist
61101-0000364-4,Hassan Hussain,34,Blue Area,5,264,Professor
61101-0000365-5,Ayesha Hussain,35,G-10,6,265,Dentist
61101-0000366-6,Usman Hussain,36,F-8,7,266,Contractor
61101-0000367-7,Zainab Hussain,37,G-9,8,267,Psychologist
61101-0000368-8,Bilal Hussain,38,F-6,9,268,Athlete
61101-0000369-9,Hira Hussain,39,Blue Area,10,269,Economist
61101-0000370-0,Faisal Farooq,40,G-10,12,270,Planner
61101-0000371-1,Maryam Farooq,41,F-8,15,271,Researcher
61101-0000372-2,Kamran Farooq,42,G-9,17,272,Entrepreneur
61101-0000373-3,Sana Farooq,43,F-6,18,273,Veterinarian
61101-0000374-4,Tariq Farooq,44,Blue Area,20,274,Chef
61101-0000375-5,Rabia Farooq,45,G-10,22,275,Analyst
61101-0000376-6,Imran Farooq,46,F-8,23,276,Broker
61101-0000377-7,Amna Farooq,47,G-9,25,277,Trader
61101-0000378-8,Waqas Farooq,48,F-6,1,278,Minister
61101-0000379-9,Noor Farooq,49,Blue Area,2,279,Administrator
61101-0000380-0,Adnan Tariq,50,G-10,3,280,Engineer
61101-0000381-1,Saira Tariq,51,F-8,4,281,Doctor
61101-0000382-2,Junaid Tariq,52,G-9,5,282,Teacher
61101-0000383-3,Lubna Tariq,53,F-6,6,283,Lawyer
61101-0000384-4,Asad Tariq,54,Blue Area,7,284,Nurse
61101-0000385-5,Neha Tariq,55,G-10,8,285,Accountant
61101-0000386-6,Omer Tariq,56,F-8,9,286,Designer
61101-0000387-7,Iram Tariq,57,G-9,10,287,Developer
61101-0000388-8,Talha Tariq,58,F-6,12,288,Artist
61101-0000389-9,Uzma Tariq,59,Blue Area,15,289,Manager
61101-0000390-0,Ahmed Sheikh,60,G-10,17,290,Pharmacist
61101-0000391-1,Fatima Sheikh,61,F-8,18,291,Student
61101-0000392-2,Ali Sheikh,62,G-9,20,292,Marketing
61101-0000393-3,Sara Sheikh,63,F-6,22,293,Director
61101-0000394-4,Hassan Sheikh,64,Blue Area,23,294,Architect
61101-0000395-5,Ayesha Sheikh,65,G-10,25,295,Banker
61101-0000396-6,Usman Sheikh,66,F-8,1,296,Consultant
61101-0000397-7,Zainab Sheikh,67,G-9,2,297,Scientist
61101-0000398-8,Bilal Sheikh,68,F-6,3,298,CEO
61101-0000399-9,Hira Sheikh,69,Blue Area,4,299,Investor
61101-0000400-0,Faisal Nawaz,20,G-10,5,100,Pilot
61101-0000401-1,Maryam Nawaz,21,F-8,6,101,Journalist
61101-0000402-2,Kamran Nawaz,22,G-9,7,102,Professor
61101-0000403-3,Sana Nawaz,23,F-6,8,103,Dentist
61101-0000404-4,Tariq Nawaz,24,Blue Area,9,104,Contractor
61101-0000405-5,Rabia Nawaz,25,G-10,10,105,Psychologist
61101-0000406-6,Imran Nawaz,26,F-8,12,106,Athlete
61101-0000407-7,Amna Nawaz,27,G-9,15,107,Economist
61101-0000408-8,Waqas Nawaz,28,F-6,17,108,Planner
61101-0000409-9,Noor Nawaz,29,Blue Area,18,109,Researcher
61101-0000410-0,Adnan Mahmood,30,G-10,20,110,Entrepreneur
61101-0000411-1,Saira Mahmood,31,F-8,22,111,Veterinarian
61101-0000412-2,Junaid Mahmood,32,G-9,23,112,Chef
61101-0000413-3,Lubna Mahmood,33,F-6,25,113,Analyst
61101-0000414-4,Asad Mahmood,34,Blue Area,1,114,Broker
61101-0000415-5,Neha Mahmood,35,G-10,2,115,Trader
61101-0000416-6,Omer Mahmood,36,F-8,3,116,Minister
61101-0000417-7,Iram Mahmood,37,G-9,4,117,Administrator
61101-0000418-8,Talha Mahmood,38,F-6,5,118,Engineer
61101-0000419-9,Uzma Mahmood,39,Blue Area,6,119,Doctor
61101-0000420-0,Ahmed Akram,40,G-10,7,120,Teacher
61101-0000421-1,Fatima Akram,41,F-8,8,121,Lawyer
61101-0000422-2,Ali Akram,42,G-9,9,122,Nurse
61101-0000423-3,Sara Akram,43,F-6,10,123,Accountant
61101-0000424-4,Hassan Akram,44,Blue Area,12,124,Designer
61101-0000425-5,Ayesha Akram,45,G-10,15,125,Developer
